u,g,r,i,z,y,redshift,mstar
26.8962,26.5662,25.8554,25.406,24.6608,23.9498,1.23416,9.44574271956479
27.5805,26.4619,25.5994,25.0731,24.5444,24.2517,1.13057,9.33505250375264
27.7589,27.4422,26.5364,26.3766,26.1203,26.9332,0.43598,7.46166056912684
27.5617,27.4249,26.3902,25.9716,25.8015,24.9961,0.447543,8.20522331653567
99,29.7795,26.4907,25.3978,24.5404,24.2245,1.03999,9.91009214815378
25.4105,25.4363,25.4088,25.4997,25.4091,25.5006,0.393347,6.73772841919055
25.3354,24.4777,23.2615,22.7344,22.5822,22.3046,0.550666,9.26749322204854
27.9752,28.1679,27.4428,26.925,26.4424,26.4748,1.20914,8.5727090016384
27.3611,27.0962,25.9735,25.0955,24.7689,24.9875,0.770746,8.58667055521965
29.2049,26.8383,26.1937,25.5317,25.438,25.1012,0.699539,8.31659511206417
25.1491,24.4815,23.9306,23.8,23.6684,23.7771,0.294164,7.92184560095277
26.7441,27.3186,27.011,26.4569,27.0276,27.3973,0.724183,7.37205176375308
28.8571,30.7597,99,26.9639,25.717,25.1161,1.86332,10.9801952373331
